Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
86.0,392.5354309082031,217954.265625,4.564365386962891,2534.351806640625,FirstVisitAge,628,628,all,Clinical
1.0,1.6001701354980469,168.41085815429688,1.6001701354980469,168.41085815429688,Gender,628,628,all,Clinical
106.0,688.665771484375,82020.6328125,6.496846675872803,773.779541015625,Hematocrit_Avg,628,628,all,CommonBloodTest
65.0,411.75592041015625,52016.6796875,6.33470630645752,800.256591796875,LymphocytesPercentage_Avg,628,628,all,CommonBloodTest
44.0,678.5882568359375,248505.890625,15.422460556030272,5647.861328125,FirstVisitAge_div_NeutrophilsPercentage_Max,628,628,all,DerivativeVariables
78.0,14584.3505859375,2890032.75,186.97885131835935,37051.703125,EosinophilsPercentage_Avg_div_WhiteBloodCellCount_Max,628,628,all,DerivativeVariables
69.0,7495.05224609375,2506625.0,108.62394714355467,36327.8984375,EosinophilsPercentage_Avg_div_CReactiveProtein_Min,628,628,all,DerivativeVariables
43.0,951.0281982421876,267151.03125,22.11693572998047,6212.814453125,MeanCorpuscularHemoglobinConcentration_Avg,628,628,all,CommonBloodTest
6.0,7.511009216308594,2688.0146484375,1.2518348693847656,448.00244140625,MonocytesPercentage_Avg,628,628,all,CommonBloodTest
20.0,640.600830078125,141136.3125,32.0300407409668,7056.8154296875,MeanPlateletVolume_Avg,628,628,all,CommonBloodTest
17.0,232.01727294921875,25609.09375,13.648075103759766,1506.417236328125,FirstVisitAge_div_MeanCorpuscularHemoglobin_Max,628,628,all,DerivativeVariables
61.0,1112.81005859375,1586137.75,18.242788314819336,26002.2578125,TotalThyroxine_Avg,628,628,all,ThyroidFunction
18.0,268.835693359375,74907.5234375,14.93531608581543,4161.529296875,MeanCorpuscularHemoglobin_Avg,628,628,all,CommonBloodTest
51.0,1434.45849609375,1407320.375,28.126636505126957,27594.517578125,EosinophilsPercentage_Avg_div_LymphocytesPercentage_Max,628,628,all,DerivativeVariables
3.0,82.95668029785156,17104.59765625,27.6522274017334,5701.53271484375,ThyroidStimulatingHormone_Avg,628,628,all,ThyroidFunction
23.0,307.7528991699219,57068.3046875,13.380560874938965,2481.230712890625,BasophilsPercentage_Avg_div_LymphocytesPercentage_Max,628,628,all,DerivativeVariables
3.0,15.093114852905272,2886.23291015625,5.031038284301758,962.07763671875,ImmunoglobulinE_Avg,628,628,all,Immunity
5.0,27.70170021057129,5168.77392578125,5.540339946746826,1033.7547607421875,WhiteBloodCellCount_Max_div_EosinophilsPercentage_Max,628,628,all,DerivativeVariables
1.0,3.048177480697632,355.576171875,3.048177480697632,355.576171875,EosinophilsPercentage_Avg_div_FirstVisitAge,628,628,all,DerivativeVariables
27.0,401.8737182617188,47072.640625,14.884211540222168,1743.43115234375,RedCellDistributionWidthCV_Avg,628,628,all,CommonBloodTest
14.0,302.92254638671875,63306.8046875,21.637325286865234,4521.91455078125,EggWhite_Avg,628,628,all,SpecificIgE
8.0,130.88426208496094,42432.41796875,16.360532760620117,5304.05224609375,AbsoluteNeutrophilCount_Max_div_MeanCorpuscularHemoglobin_Max,628,628,all,DerivativeVariables
32.0,540.4708251953125,222724.734375,16.889713287353516,6960.14794921875,Hematocrit_Max,628,628,all,CommonBloodTest
32.0,338.30059814453125,105712.2421875,10.571893692016602,3303.507568359375,FirstVisitAge_div_BasophilsPercentage_Avg,628,628,all,DerivativeVariables
8.0,121.39251708984376,232168.625,15.174064636230469,29021.078125,LymphocytesPercentage_Max,628,628,all,CommonBloodTest
4.0,72.40362548828125,10356.306640625,18.100906372070312,2589.07666015625,Hematocrit_Min,628,628,all,CommonBloodTest
82.0,2331.09326171875,290790.6875,28.427967071533203,3546.227783203125,AbsoluteNeutrophilCount_Max_div_NeutrophilsPercentage_Max,628,628,all,DerivativeVariables
2.0,31.357919692993164,1289.0426025390625,15.678959846496582,644.5213012695312,FirstVisitAge_div_LymphocytesPercentage_Max,628,628,all,DerivativeVariables
7.0,185.9578094482422,85856.0390625,26.565401077270508,12265.1484375,WhiteBloodCellCount_Max_div_BasophilsPercentage_Avg,628,628,all,DerivativeVariables
57.0,650.5970458984375,119457.1015625,11.413983345031738,2095.738525390625,MeanCorpuscularVolume_Max,628,628,all,CommonBloodTest
6.0,183.72732543945312,19699.958984375,30.6212215423584,3283.326416015625,MonocytesPercentage_Max,628,628,all,CommonBloodTest
44.0,1183.7236328125,141213.125,26.902809143066406,3209.38916015625,WhiteBloodCellCount_Max_div_FirstVisitAge,628,628,all,DerivativeVariables
45.0,1175.529052734375,218813.953125,26.12286758422852,4862.5322265625,WhiteBloodCellCount_Max_div_CReactiveProtein_Min,628,628,all,DerivativeVariables
9.0,316.6327514648437,79537.421875,35.18141555786133,8837.4912109375,MeanPlateletVolume_Min,628,628,all,CommonBloodTest
30.0,1148.1241455078125,152163.78125,38.27080535888672,5072.1259765625,FirstVisitAge_div_PlateletCount_Max,628,628,all,DerivativeVariables
3.0,28.01108932495117,3545.86474609375,9.337029457092283,1181.9549560546875,EosinophilsPercentage_Avg_div_BasophilsPercentage_Avg,628,628,all,DerivativeVariables
1.0,15.91793727874756,1772.82421875,15.91793727874756,1772.82421875,MeanCorpuscularVolume_Avg,628,628,all,CommonBloodTest
2.0,26.245702743530277,7785.36279296875,13.122851371765137,3892.681396484375,PlateletCount_Avg_div_NeutrophilsPercentage_Max,628,628,all,DerivativeVariables
15.0,470.4601440429688,149291.625,31.36400985717773,9952.775390625,EosinophilsPercentage_Avg_div_CReactiveProtein_Avg,628,628,all,DerivativeVariables
18.0,235.70120239257807,30500.5703125,13.094511032104492,1694.47607421875,FirstVisitAge_div_PlateletCount_Min,628,628,all,DerivativeVariables
43.0,1075.0738525390625,1012998.9375,25.00171661376953,23558.115234375,LymphocytesPercentage_Min,628,628,all,CommonBloodTest
7.0,117.93968963623048,88390.03125,16.848527908325195,12627.1474609375,FirstVisitAge_div_AbsoluteNeutrophilCount_Max,628,628,all,DerivativeVariables
