Importance,total_gain,total_cover,gain,cover,Feature,group,param_id,sequence_ids,Feature_group
12.0,86.24652099609375,2200.41015625,7.1872100830078125,183.3675079345703,RedCellDistributionWidthCV_Max_acute,0-2,AovHCpLO_102_1,0,CommonBloodTest
11.0,59.13494873046875,2907.362548828125,5.375904560089111,264.3056945800781,RedCellDistributionWidthCV_Min_acute,0-2,AovHCpLO_102_1,0,CommonBloodTest
5.0,45.09234619140625,574.2652587890625,9.018468856811523,114.8530502319336,RedCellDistributionWidthCV_Avg_acute,0-2,AovHCpLO_102_1,0,CommonBloodTest
4.0,18.74774169921875,399.9009399414063,4.686935424804688,99.97523498535156,CReactiveProtein_Min_acute,0-2,AovHCpLO_102_1,0,Immunity
11.0,36.08428955078125,1538.5789794921875,3.2803900241851807,139.87081909179688,FirstVisitAge,12-25,AovHCpLO_102_1,0,Clinical
1.0,0.7426834106445312,31.534975051879883,0.7426834106445312,31.534975051879883,Hematocrit_Max_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.887725830078125,27.62277603149414,0.887725830078125,27.62277603149414,Hematocrit_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
1.0,1.0753498077392578,13.48415756225586,1.0753498077392578,13.48415756225586,LymphocytesPercentage_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.862701416015625,55.641151428222656,0.862701416015625,55.641151428222656,LymphocytesPercentage_Avg_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
9.0,14.560317993164062,788.9000244140625,1.6178131103515625,87.65555572509766,NeutrophilsPercentage_Max_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
4.0,3.4928035736083984,91.25090789794922,0.8732008934020996,22.812726974487305,PlateletCount_Max_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
4.0,5.111413955688477,120.26121520996094,1.2778534889221191,30.065303802490234,PlateletCount_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.226318359375,63.898433685302734,0.226318359375,63.898433685302734,WhiteBloodCellCount_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
3.0,9.860137939453123,208.07513427734372,3.286712646484375,69.3583755493164,MeanCorpuscularHemoglobin_Max_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
4.0,5.79449462890625,427.26904296875,1.4486236572265625,106.8172607421875,MeanCorpuscularHemoglobin_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
24.0,254.09423828125,1624.73486328125,10.587260246276855,67.6972885131836,MeanCorpuscularVolume_Max_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
4.0,32.04673767089844,281.81396484375,8.01168441772461,70.4534912109375,MeanCorpuscularVolume_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
8.0,78.7457046508789,467.170654296875,9.843213081359863,58.396331787109375,MeanCorpuscularVolume_Avg_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
11.0,44.467193603515625,1596.771728515625,4.042472362518311,145.16107177734375,EosinophilsPercentage_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
10.0,13.968382835388184,145.39227294921875,1.3968383073806765,14.539227485656738,AbsoluteEosinophilCount_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.316162109375,147.49795532226562,0.316162109375,147.49795532226562,AbsoluteLymphocyteCount_Avg_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
2.0,3.669210433959961,25.88296890258789,1.8346052169799805,12.941484451293944,MeanPlateletVolume_Min_acute,12-25,AovHCpLO_102_1,0,CommonBloodTest
2.0,3.14764404296875,278.3142395019531,1.573822021484375,139.15711975097656,CReactiveProtein_Max_acute,12-25,AovHCpLO_102_1,0,Immunity
3.0,2.115142822265625,588.8453979492188,0.705047607421875,196.28179931640625,CReactiveProtein_Avg_acute,12-25,AovHCpLO_102_1,0,Immunity
1.0,0.6414852142333984,11.853662490844728,0.6414852142333984,11.853662490844728,LymphocytesPercentage_Max_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
1.0,4.192420959472656,34.2629280090332,4.192420959472656,34.2629280090332,LymphocytesPercentage_Min_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
15.0,240.95318603515625,2250.718994140625,16.06354522705078,150.0479278564453,NeutrophilsPercentage_Max_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
5.0,49.08636474609375,1351.259033203125,9.817273139953612,270.2518005371094,NeutrophilsPercentage_Min_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
9.0,34.43511199951172,1380.4188232421875,3.8261234760284415,153.37986755371094,NeutrophilsPercentage_Avg_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
4.0,3.3555908203125,1034.3438720703125,0.838897705078125,258.5859680175781,WhiteBloodCellCount_Max_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
4.0,9.7623291015625,697.7592163085938,2.440582275390625,174.43980407714844,WhiteBloodCellCount_Avg_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
6.0,24.996551513671875,745.2850952148438,4.1660919189453125,124.21417999267578,RedBloodCellCount_Max_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.19818115234375,137.21780395507812,0.19818115234375,137.21780395507812,RedBloodCellCount_Avg_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
3.0,18.212066650390625,125.16895294189452,6.070688724517822,41.72298431396485,EosinophilsPercentage_Max_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
3.0,6.44915771484375,55.36724853515625,2.14971923828125,18.45574951171875,EosinophilsPercentage_Avg_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
1.0,10.86114501953125,116.87994384765624,10.86114501953125,116.87994384765624,AbsoluteNeutrophilCount_Max_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.2107295989990234,16.608470916748047,0.2107295989990234,16.608470916748047,AbsoluteEosinophilCount_Max_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.7695236206054688,15.338903427124023,0.7695236206054688,15.338903427124023,AbsoluteEosinophilCount_Avg_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
1.0,0.358560562133789,15.7717866897583,0.358560562133789,15.7717866897583,MeanPlateletVolume_Min_acute,2-6,AovHCpLO_102_1,0,CommonBloodTest
